날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,관객수,누적관객수,순위,관람객평점,평론가평점
2019-07-05,8,0.1%,10,0.1%,763,0.0%,49.5%,378,"13,920,673",18,9.5,7.62
2019-07-06,10,0.2%,13,0.1%,"1,214",0.0%,58.2%,707,"13,921,380",18,9.5,7.62
2019-07-07,9,0.2%,13,0.1%,"1,207",0.0%,58.8%,710,"13,922,090",19,9.5,7.62
2019-07-08,12,0.2%,15,0.1%,"1,294",0.0%,36.9%,477,"13,922,567",20,9.5,7.62
2019-07-09,11,0.2%,14,0.1%,"1,278",0.0%,37.5%,479,"13,923,046",17,9.5,7.62
2019-07-10,11,0.2%,15,0.1%,"1,329",0.0%,34.8%,462,"13,923,508",19,9.5,7.62
2019-07-11,10,0.2%,13,0.1%,"1,475",0.1%,33.4%,493,"13,924,001",23,9.5,7.62
2019-07-12,11,0.2%,14,0.1%,"1,517",0.1%,38.4%,583,"13,924,584",20,9.5,7.62
2019-07-13,10,0.2%,15,0.1%,"1,689",0.1%,55.5%,937,"13,925,521",16,9.5,7.62
2019-07-14,10,0.2%,15,0.1%,"1,689",0.1%,58.4%,986,"13,926,507",15,9.5,7.62
2019-07-15,11,0.2%,15,0.1%,"1,970",0.1%,24.5%,483,"13,926,990",20,9.5,7.62
2019-07-16,10,0.2%,15,0.1%,"1,911",0.1%,26.3%,502,"13,927,492",21,9.5,7.62
2019-07-17,9,0.2%,12,0.1%,"1,164",0.0%,31.2%,363,"13,927,855",23,9.5,7.62
2019-07-18,9,0.2%,12,0.1%,"1,180",0.0%,32.6%,385,"13,928,240",30,9.5,7.62
2019-07-19,9,0.2%,12,0.1%,"1,180",0.0%,33.4%,394,"13,928,634",25,9.5,7.62
2019-07-20,9,0.1%,13,0.1%,"1,234",0.0%,51.5%,635,"13,929,269",25,9.5,7.62
2019-07-21,9,0.1%,13,0.1%,"1,234",0.0%,49.8%,615,"13,929,884",22,9.5,7.62
2019-07-22,10,0.2%,17,0.1%,"1,862",0.1%,20.6%,383,"13,930,267",25,9.5,7.62
2019-07-23,10,0.2%,17,0.1%,"1,862",0.1%,22.7%,422,"13,930,689",27,9.5,7.62
2019-07-24,10,0.2%,17,0.1%,"1,769",0.1%,20.7%,367,"13,931,056",23,9.5,7.62
2019-07-25,9,0.1%,16,0.1%,"1,719",0.1%,21.0%,361,"13,931,417",24,9.5,7.62
2019-07-26,10,0.2%,18,0.1%,"1,997",0.1%,18.2%,363,"13,931,780",26,9.5,7.62
2019-07-27,11,0.2%,16,0.1%,"1,777",0.1%,33.7%,599,"13,932,379",24,9.5,7.62
2019-07-28,11,0.2%,16,0.1%,"1,777",0.1%,26.1%,464,"13,932,843",25,9.5,7.62
2019-07-29,9,0.1%,17,0.1%,"1,846",0.1%,17.3%,320,"13,933,163",27,9.5,7.62
2019-07-30,8,0.1%,16,0.1%,"1,810",0.1%,18.5%,334,"13,933,497",27,9.5,7.62
2019-07-31,5,0.1%,5,0.0%,285,0.0%,47.7%,136,"13,933,633",39,9.5,7.62
2019-08-01,6,0.1%,6,0.0%,449,0.0%,26.1%,117,"13,933,750",35,9.5,7.62
2019-08-02,6,0.1%,6,0.0%,487,0.0%,19.1%,93,"13,933,843",38,9.5,7.62
2019-08-03,6,0.1%,6,0.0%,487,0.0%,23.0%,112,"13,933,955",36,9.5,7.62
2019-08-04,7,0.1%,7,0.0%,591,0.0%,20.6%,122,"13,934,077",36,9.5,7.62
2019-08-05,5,0.1%,6,0.0%,389,0.0%,21.1%,82,"13,934,159",44,9.5,7.62
2019-08-06,5,0.1%,6,0.0%,517,0.0%,13.3%,69,"13,934,228",49,9.5,7.62
2019-08-07,2,0.0%,2,0.0%,364,0.0%,4.7%,17,"13,934,245",68,9.5,7.62
2019-08-08,2,0.0%,2,0.0%,364,0.0%,7.7%,28,"13,934,273",58,9.5,7.62
2019-08-09,2,0.0%,2,0.0%,244,0.0%,7.4%,18,"13,934,291",70,9.5,7.62
2019-08-10,2,0.0%,2,0.0%,244,0.0%,13.5%,33,"13,934,324",62,9.5,7.62
2019-08-11,2,0.0%,2,0.0%,244,0.0%,14.8%,36,"13,934,360",56,9.5,7.62
2019-08-12,2,0.0%,2,0.0%,307,0.0%,7.2%,22,"13,934,382",58,9.5,7.62
2019-08-13,2,0.0%,2,0.0%,307,0.0%,9.8%,30,"13,934,412",65,9.5,7.62
2019-08-14,1,0.0%,1,0.0%,80,0.0%,12.5%,10,"13,934,422",79,9.5,7.62
2019-08-15,1,0.0%,1,0.0%,80,0.0%,40.0%,32,"13,934,454",64,9.5,7.62
2019-08-16,1,0.0%,1,0.0%,80,0.0%,27.5%,22,"13,934,476",64,9.5,7.62
2019-08-17,1,0.0%,1,0.0%,80,0.0%,22.5%,18,"13,934,494",94,9.5,7.62
2019-08-18,1,0.0%,1,0.0%,80,0.0%,18.8%,15,"13,934,509",89,9.5,7.62
2019-08-19,1,0.0%,1,0.0%,200,0.0%,2.5%,5,"13,934,514",94,9.5,7.62
2019-08-20,1,0.0%,1,0.0%,200,0.0%,9.5%,19,"13,934,533",79,9.5,7.62
2019-08-21,1,0.0%,1,0.0%,143,0.0%,2.8%,4,"13,934,537",98,9.5,7.62
2019-08-22,1,0.0%,1,0.0%,143,0.0%,7.0%,10,"13,934,547",96,9.5,7.62
2019-08-23,1,0.0%,1,0.0%,143,0.0%,4.9%,7,"13,934,554",99,9.5,7.62
2019-08-24,1,0.0%,1,0.0%,143,0.0%,5.6%,8,"13,934,562",103,9.5,7.62
2019-08-25,1,0.0%,1,0.0%,143,0.0%,9.1%,13,"13,934,575",88,9.5,7.62
2019-08-26,1,0.0%,1,0.0%,80,0.0%,2.5%,2,"13,934,577",92,9.5,7.62
2019-08-27,1,0.0%,1,0.0%,143,0.0%,10.5%,15,"13,934,592",80,9.5,7.62
